rawglucose|rawtemp|derivedalgoresult
1000|6000|75.0
1000|6008|75.12
1000|6016|75.24
1000|6024|75.36
1000|6032|75.48
1000|6040|75.6
1000|6048|75.72
1000|6056|75.84
1000|6064|75.96
1000|6072|76.08
1000|6080|76.2
1000|6088|76.32
1000|6096|76.44
1000|6104|76.56
1000|6112|76.68
1000|6120|76.8
1000|6128|76.92
1000|6136|77.04
1000|6144|77.16
1000|6152|77.28
1000|6160|77.4
1000|6168|77.52
1000|6176|77.64
1000|6184|77.76
1000|6192|77.88
1000|6200|78.0
1000|6208|78.12
1000|6216|78.24
1000|6224|78.36
1000|6232|78.48
1000|6240|78.6
1000|6248|78.72
1000|6256|78.84
1000|6264|78.96
1000|6272|79.08
1000|6280|79.2
1000|6288|79.32
1000|6296|79.44
1000|6304|79.56
1000|6312|79.68
1000|6320|79.8
1000|6328|79.92
1000|6336|80.04
1000|6344|80.16
1000|6352|80.28
1000|6360|80.4
1000|6368|80.52
1000|6376|80.64
1000|6384|80.76
1000|6392|80.88
1000|6400|81.0
1000|6408|81.12
1000|6416|81.24
1000|6424|81.36
1000|6432|81.48
1000|6440|81.6
1000|6448|81.72
1000|6456|81.84
1000|6464|81.96
1000|6472|82.08
1000|6480|82.2
1000|6488|82.32
1000|6496|82.44
1000|6504|82.56
1000|6512|82.68
1000|6520|82.8
1000|6528|82.92
1000|6536|83.04
1000|6544|83.16
1000|6552|83.28
1000|6560|83.4
1000|6568|83.52
1000|6576|83.64
1000|6584|83.76
1000|6592|83.88
1000|6600|84.0
1000|6608|84.12
1000|6616|84.24
1000|6624|84.36
1000|6632|84.48
1000|6640|84.6
1000|6648|84.72
1000|6656|84.84
1000|6664|84.96
1000|6672|85.08
1000|6680|85.2
1000|6688|85.32
1000|6696|85.44
1000|6704|85.56
1000|6712|85.68
1000|6720|85.8
1000|6728|85.92
1000|6736|86.04
1000|6744|86.16
1000|6752|86.28
1000|6760|86.4
1000|6768|86.52
1000|6776|86.64
1000|6784|86.76
1000|6792|86.88
1000|6800|87.0
1000|6808|87.12
1000|6816|87.24
1000|6824|87.36
1000|6832|87.48
1000|6840|87.6
1000|6848|87.72
1000|6856|87.84
1000|6864|87.96
1000|6872|88.08
1000|6880|88.2
1000|6888|88.32
1000|6896|88.44
1000|6904|88.56
1000|6912|88.68
1000|6920|88.8
1000|6928|88.92
1000|6936|89.04
1000|6944|89.16
1000|6952|89.28
1000|6960|89.4
1000|6968|89.52
1000|6976|89.64
1000|6984|89.76
1000|6992|89.88
1000|7000|90.0
1000|7008|90.12
1000|7016|90.24
1000|7024|90.36
1000|7032|90.48
1000|7040|90.6
1000|7048|90.72
1000|7056|90.84
1000|7064|90.96
1000|7072|91.08
1000|7080|91.2
1000|7088|91.32
1000|7096|91.44
1000|7104|91.56
1000|7112|91.68
1000|7120|91.8
1000|7128|91.92
1000|7136|92.04
1000|7144|92.16
1000|7152|92.28
1000|7160|92.4
1000|7168|92.52
1000|7176|92.64
1000|7184|92.76
1000|7192|92.88
1000|7200|93.0
1000|7208|93.12
1000|7216|93.24
1000|7224|93.36
1000|7232|93.48
1000|7240|93.6
1000|7248|93.72
1000|7256|93.84
1000|7264|93.96
1000|7272|94.08
1000|7280|94.2
1000|7288|94.32
1000|7296|94.44
1000|7304|94.56
1000|7312|94.68
1000|7320|94.8
1000|7328|94.92
1000|7336|95.04
1000|7344|95.16
1000|7352|95.28
1000|7360|95.4
1000|7368|95.52
1000|7376|95.64
1000|7384|95.76
1000|7392|95.88
1000|7400|96.0
1000|7408|96.12
1000|7416|96.24
1000|7424|96.36
1000|7432|96.48
1000|7440|96.6
1000|7448|96.72
1000|7456|96.84
1000|7464|96.96
1000|7472|97.08
1000|7480|97.2
1000|7488|97.32
1000|7496|97.44
1000|7504|97.56
1000|7512|97.68
1000|7520|97.8
1000|7528|97.92
1000|7536|98.04
1000|7544|98.16
1000|7552|98.28
1000|7560|98.4
1000|7568|98.52
1000|7576|98.64
1000|7584|98.76
1000|7592|98.88
1000|7600|99.0
1000|7608|99.12
1000|7616|99.24
1000|7624|99.36
1000|7632|99.48
1000|7640|99.6
1000|7648|99.72
1000|7656|99.84
1000|7664|99.96
1000|7672|100.08
1000|7680|100.2
1000|7688|100.32
1000|7696|100.44
1000|7704|100.56
1000|7712|100.68
1000|7720|100.8
1000|7728|100.92
1000|7736|101.04
1000|7744|101.16
1000|7752|101.28
1000|7760|101.4
1000|7768|101.52
1000|7776|101.64
1000|7784|101.76
1000|7792|101.88
1000|7800|102.0
1000|7808|102.12
1000|7816|102.24
1000|7824|102.36
1000|7832|102.48
1000|7840|102.6
1000|7848|102.72
1000|7856|102.84
1000|7864|102.96
1000|7872|103.08
1000|7880|103.2
1000|7888|103.32
1000|7896|103.44
1000|7904|103.56
1000|7912|103.68
1000|7920|103.8
1000|7928|103.92
1000|7936|104.04
1000|7944|104.16
1000|7952|104.28
1000|7960|104.4
1000|7968|104.52
1000|7976|104.64
1000|7984|104.76
1000|7992|104.88
